sabotage_type,sabotage_description
distraction,must harvest pasta from a pasta picture of alton
distraction,must harvest pasta from a pasta picture of alton
distraction,must cook with only pinky and thumb on one hand
equipment,must cook and mix in coconuts and pineapples
distraction,replace oil from oil capsules
equipment,measure and mixing in muffin tins
ingredients,replace peas with pea substitutes
ingredients,replace peas with pea substitutes
ingredients,replace peas with pea substitutes
ingredients,split basket between opponents
ingredients,replace lamb chops with overcooked/chopped lamb
equipment,limited to 3 tools in the kitchen
ingredients,replace lamb chops with overcooked/chopped lamb
equipment,trade whisk and mixer for gigantic whisk
equipment,must share tools with 2 other opponents
equipment,must share tools with 2 other opponents
equipment,must share tools with 2 other opponents
ingredients,must switch baskets with pinata ingredients
ingredients,must switch baskets with pinata ingredients
equipment,replace hand tools and mixers with bricklaying kit
equipment,replace knives with ice skate
ingredients,replace cheese with different cheese sources
ingredients,replace cheese with different cheese sources
ingredients,replace cheese with different cheese sources
distraction,must shop with shopping takeout containers
ingredients,replace proteins with vacuum sealed food
equipment,must cook on an inverted wok
equipment,replace all equipment with gardening tools
ingredients,replace proteins with less desirable proteins
ingredients,replace proteins with less desirable proteins
ingredients,replace proteins with less desirable proteins
equipment,replace knives with box cutter or plastic knives
equipment,replace knives with box cutter or plastic knives
ingredients,replace bread with matzo ball soup
distraction,must ice pick out sugar/eggs/flour from ice block
ingredients,replace onions with substitutes
ingredients,replace onions with substitutes
ingredients,replace onions with substitutes
ingredients,must replace spices with spice mixes
ingredients,swap competitors fish with mystery fish
ingredients,swap competitors fish with mystery fish
equipment,must make ice cream in ice cream shaker
ingredients,swap meat with mystery meats
ingredients,swap meat with mystery meats
distraction,must finish their dish in the next five minutes (@15 minutes)
ingredients,swap meat with mystery meats
ingredients,swip citrus with lemon mirangue pie
ingredients,swap all of opponents chicken
ingredients,swap all of opponents chicken
distraction,must play ball toss to win back ingredients
distraction,must fry in separated salad dressing
equipment,must cook in eggshells
distraction,get your ingredients from a quarter vending machine
ingredients,swap out two of your opponents eggs w/ poached or crushed eggs
ingredients,swap out two of your opponents eggs w/ poached or crushed eggs
ingredients,swap opponent proteins w/ canned roast beef/canned oysters
equipment,replace cooking equipment with yard sale equipment
ingredients,swap opponent proteins w/ canned roast beef/canned oysters
ingredients,opponents meat unevenly chopped
ingredients,replace opponents cognac with congnac candies
equipment,choose heat options for all competitors
equipment,choose heat options for all competitors
equipment,choose heat options for all competitors
ingredients,replace clams w/ razor clams/geoduck
ingredients,replace clams w/ razor clams/geoduck
ingredients,replace opponents chicken w/ turducken
equipment,force your opponent to use a claw hand
ingredients,replace opponent proteins with frog legs/roast beef/fish sticks
ingredients,replace opponent proteins with frog legs/roast beef/fish sticks
ingredients,replace opponent proteins with frog legs/roast beef/fish sticks
ingredients,swap opponent proteins with meatball lottery
ingredients,swap opponent proteins with meatball lottery
ingredients,switch opponents entire basket from a tree
distraction,"must carry egg in an egg head, lose $500 if you drop it"
equipment,replace heat sources with a heat gun
ingredients,breakfast buffet voucher (replace ingredients except eggs)
ingredients,replace tomato products with salsa products
ingredients,must harvest milk products from a fake cow
equipment,limited to 3 tools in the kitchen
ingredients,"swap opponents doughs with cookies, saltines, pizza crust"
ingredients,"swap opponents doughs with cookies, saltines, pizza crust"
equpiment,replace hand tools with a sporf
ingredients,"swap opponents doughs with cookies, saltines, pizza crust"
equipment,must cook on a tv tray table
equpiment,swap opponents heat sources w/ different irons
equpiment,swap opponents heat sources w/ different irons
equipment,must replace mixing tools with spring form pans
ingredients,must harvest cheese from other cheese tray items
ingredients,cheese from tuna melt
equipment,must cook in a sheet pan
distraction,must keep hand on cooking equipment
exclusivity,comptetiors cannot use salt
ingredients,"different rice options (sushi, rice pudding, instant, fried rice)"
ingredients,replace bread w/ rye crackers
equipment,cook with an iron
distraction,must wear masher on their dominant hand
ingredients,split basket between opponents
ingredients,split basket between opponents
equipment,can't use water
ingredients,swap chicken with canned chicken
distraction,force choice between canned chicken and half cooking time
ingredients,replace rice paper wrappers w/ broken wrappers
distraction,force opponent to wear rubber gloves
equipment,share pot w/ an opponent
equipment,share pot w/ an opponent
equipment,must mix in pastry bags
distraction,station swap (ingredients/sabotages)
equipment,"give heat sources to opponents (broiler, microwave, fryer)"
distraction,station swap (ingredients/sabotages)
exclusivity,only chef to taste food
ingredients,must use white bread to make bread bowl
ingredients,replace breading w/ chicken nuggets
equipment,replace heat with hot dog roller
equipment,replace bowls w/ collanders
equipment,must share chef's knife w/ other opponents
equipment,must share chef's knife w/ other opponents
distraction,must cook a stack of pancakes 1 foot high
equipment,use tin foil for all tools
ingredients,frozen component in their dish
ingredients,"replace protein, veggies, and cheese w/ yard waste"
equipment,must cook on a shovel
ingredients,swap out bread for bread crumbs
ingredients,lose your noodles
distraction,make 3 cocktails for alton
ingredients,must get herbs from bag of lawn trimmings
ingredients,split basket between opponents
distraction,must cook tied together with another chef
distraction,must cook tied together with another chef
ingredients,must incorporate a mysterious green jar
ingredients,must replace 3 ingredients with like items
ingredients,must cook everything in their cobb salad
equipment,must replace all equipment with a build a station
ingredients,"must use ""red or green"" ingredients"
distraction,must cook fries one at a time
equipment,replace pots with 7 tiny pots
distraction,must wait for their number to be called
equipment,must cook in ladles
distraction,must reassemble butter stick from individual sticks
equipment,must use a rotating heat source
ingredients,puree opponents banana
equipment,replace tools with balls of foil/plastic
ingredients,must replace bread with a king cake
distraction,must tweezer sesame seeds off of a bun
equipment,replace equipment with the ultimate grilling apron
equipment,use fuel tabs for heat
equipment,force your opponent to use a claw hand
distraction,force two opponents to switch stations and dishes with an opponent
distraction,force two opponents to switch stations and dishes with an opponent
ingredients,submerge an opponents bread in bread
equipment,must use moka pot as only cooking vessel
distraction,"must carry egg in an egg head, lose $500 if you drop it"
ingredients,swap opponents bread with bread basket
ingredients,must use oil from different sources
equipment,cannot cook on stovetop
distraction,stop cooking to make mayo
equipment,must use straws to put liquid into risotto pans
distraction,must wear periscope glasses
